       Row                Value:K
---------- ----------------------
         1 -9223372036854775808
         2 -9223372036854775807
         3 -9223372036854775806
         4 -9223372036854775805
         5 -9223372036854775804
         6                   -2
         7                   -1
         8                    0
         9                    1
        10                    2
        11  9223372036854775803
        12  9223372036854775804
        13  9223372036854775805
        14  9223372036854775806
        15  9223372036854775807
