NAME,ID,RA,DEC,Z,SOFT,HARD,14um_z_corrected,2-7keVX-ray_flux(erg/s/cm^2),2-10kevX-ray_flux(erg/s/cm^2),LX_2-10kev_erg/s,R_FLUX,R_MAG,RADIO,IRAC3.6,IRAC4.5,IRAC5.8,IRAC8.0,3.6(uJy),4.5(uJy),5.8(uJy),8.0(uJy),14um_z_corrected,24um_flux(uJy),F_RAT,BW_FLUX,BW_MAG,MPLATE,TYPE,class,"H-alpha FWHM","O III FWHM","O III ratio","O II FWHM"
'NDWFS_J1424455p331437',0.0,216.18964,33.243813,0.2679,4,23,1149.4,7.88E-14,1.05E-13,43.195,0.0,18.394,0.0,0.0,0.0,0.0,0.0,3.2164,9.1273,76.217,0.94249,1149.4,1814.7,0.0,0.0,20.449,0.0,'none',-1,'NA','NA','NA','NA'
'NDWFS_J1424479p324935',0,216.19969,32.826523,0.21027,20,8,,2.74E-14,3.65E-14,42.526,0,18.342,0,0,0,0,0,16.879,25.135,-54.52,13.985,,,0,0,19.259,0,'none',-1,,,,
'NDWFS_J1425059p350926',1.0129,216.27473,35.157372,0.19237,5,7,481.84,2.40E-14,3.19E-14,42.391,114.29,18.55,0,15.423,15.096,15.221,13.414,179.23,163.47,95.539,280.02,481.84,636.8,-1.42,26.99,20.322,50093,'Int',6,,,,
'NDWFS_J1426203p353707',1.0044,216.58495,35.618736,0.25521,90,27,,9.25E-14,1.23E-13,43.223,302.27,17.494,0,14.226,14.023,14.116,13.692,496.34,416.16,255.39,198.57,,,-0.86,37.222,19.973,9.50E+05,'diffellR',-1,,,,
'NDWFS_J1426251p331709',1.0104,216.60477,33.285892,0.24457,25,7,730.8,2.40E-14,3.19E-14,42.599,110.56,18.586,0,15.212,14.885,14.859,12.872,209.68,193.3,136.71,436.54,730.8,917.1,-0.98,32.33,20.126,1.91E+05,'ellB',2,,,,
'NDWFS_J1428060p343014',1.005,217.02538,34.503929,0.15892,26,15,552.29,5.14E-14,6.84E-14,42.556,384.06,17.234,0,14.374,14.343,14.173,12.723,442.42,319.63,242.21,456.83,552.29,635,-1.41,95.763,18.947,50093,'Spr',5,,,,
'NDWFS_J1428240p325052',0,217.10034,32.847771,0.13064,54,18,373.56,6.17E-14,8.21E-14,42.465,0,18.792,0,0,0,0,0,114.45,96.733,108.92,297.69,373.56,446.3,0,0,19.913,0,'none',-1,,,,
'NDWFS_J1428561p353042',1.0146,217.23398,35.511711,0.23343,15,7,471.55,2.40E-14,3.19E-14,42.559,75.093,19.006,0,15.539,15.224,14.754,13.902,164.64,148.85,148.93,178.49,471.55,665,-0.98,17.881,20.769,80189,'ellB',2,,,,
'NDWFS_J1429099p353615',1.0049,217.29156,35.604321,0.22928,20,6,1613.5,2.06E-14,2.74E-14,42.476,218.57,17.846,0,14.353,14.172,13.8,12.05,481.5,384.87,361.49,935.31,1613.5,2068.2,-1.37,46.86,19.723,20096,'ellB',2,,,,
'NDWFS_J1431023p341957',1.0038,217.75961,34.332695,0.1747,82,17,1696.2,5.83E-14,7.75E-14,42.693,222.64,17.826,0,14.013,13.678,13.178,11.863,656.48,610.76,638.21,1142,1696.2,2149.8,-0.79,61.773,19.423,1.40E+05,'diffellB',-1,,,,
'NDWFS_J1431116p325353',1.0068,217.79836,32.898285,0.27263,1,4,610.05,1.37E-14,1.82E-14,42.451,149.14,18.261,0,14.749,14.452,14.383,13.418,326.63,290.36,204.23,274.53,610.05,800.9,-1.92,18.416,20.737,9.30E+05,'ellR',1,,,,
'NDWFS_J1431226p350634',1.009,217.84444,35.109573,0.2771,12,4,355.04,1.37E-14,1.82E-14,42.465,129.18,18.417,0,15.061,14.893,14.786,14.35,75.309,100.16,78.196,143.32,355.04,473.4,-1.35,13.577,21.068,9.90E+05,'dwarfR',8,,,,
'NDWFS_J1431407p330317',1.0023,217.91966,33.054733,0.19293,21,36,5106.9,1.23E-13,1.64E-13,43.105,646.25,16.669,0.51,13.384,12.821,12.301,10.837,1126.9,1305.3,1418.4,2776,5106.9,6892.9,-1.5,165.35,18.354,1.00E+05,'Spr',5,,,,
'NDWFS_J1431435p330133',1.004,217.93163,33.025944,0.14115,77,22,4127,7.54E-14,1.00E-13,42.619,230.36,17.789,0,14.107,13.659,13.077,11.239,611.14,625.75,712.96,2016.7,4127,6075.7,-0.81,107.25,18.824,2.72E+05,'Int',6,9.8,11.9,3.2,6.1
'NDWFS_J1432170p345227',1.0029,218.07112,34.87442,0.1723,25,13,3085.4,4.46E-14,5.93E-14,42.564,356.78,17.314,0.22,13.699,13.352,12.998,11.441,881.18,820.68,754.22,1698.3,3085.4,4230.6,-1.41,63.797,19.388,2.90E+05,'ellB',2,,,,
'NDWFS_J1434244p341719',1.0039,218.60191,34.288857,0.19535,19,24,2659.5,8.23E-14,1.09E-13,42.939,140.48,18.326,0.83,14.048,13.458,12.91,11.725,652.13,755.84,824.61,1323.2,2659.5,3674.5,-0.96,25.445,20.386,5.01E+05,'none',-1,,,,
'NDWFS_J1435253p330520',1.0047,218.85555,33.089046,0.199,16,7,750.8,2.40E-14,3.19E-14,42.42,304.79,17.485,0,14.309,14.075,13.962,12.668,481.77,407.07,293.28,506.23,750.8,934.1,-1.56,57.544,19.5,50093,'ellB',2,,,,
'NDWFS_J1436087p350613',0,219.03656,35.103832,0.28342,181,62,,2.13E-13,2.83E-13,43.675,0,20.914,1.66,0,0,0,0,115.96,78.32,78.873,23.548,,,0,0,22.435,0,'none',-1,,,,
'NDWFS_J1436562p340808',1.0356,219.23451,34.135609,0.23673,1,6,,2.06E-14,2.74E-14,42.504,39.337,19.708,0,16.256,15.849,15.755,14.698,84.756,83.852,59.138,85.24,,,-1.19,5.3506,22.079,7.20E+05,'ellR',1,,,,
'NDWFS_J1437079p344001',1.0106,219.28293,34.666958,0.19091,0,7,648.75,2.40E-14,3.19E-14,42.384,129.66,18.413,0,15.238,15.017,14.915,13.449,207.81,177.92,136.15,270.13,648.75,941,-1.71,19.751,20.661,6.20E+05,'diffellR',-1,,,,
'NDWFS_J1437188p333857',1.0042,219.32835,33.64933,0.19236,1,10,2274.7,3.43E-14,4.56E-14,42.546,186.72,18.017,0,14.147,13.833,13.679,11.322,593.43,533.04,410.2,1914.3,2274.7,2551.5,-1.67,31.246,20.163,3.60E+05,'none',-1,,,,
'NDWFS_J1438268p352837',1.0115,219.61182,35.477074,0.25777,9,6,1433,2.06E-14,2.74E-14,42.578,27.848,20.083,0,15.314,14.738,14.125,12.791,202.81,233.87,267.8,493.36,1433,1998.9,-0.71,4.0776,22.374,7.10E+05,'ellR',1,,,,
