#
#   VizieR Astronomical Server: vizier.cfa.harvard.edu	2005-12-05T19:15:01
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	-ref=Vxml24078	
#INFO	-c=010.684700+41.268872,bm=15.014000/15.011	

#RESOURCE=2246
#Name: II/246
#Title:	2MASS All-Sky Catalog of Point Sources (Cutri+ 2003)
#Table	II_246_out:
#Name: II/246/out
#Title:	The Point Source catalogue of 470,992,970 sources. \inputViz{2mass.intro.htx}
#Column	_RAJ2000	(F9.5)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_RA_MAIN]
#Column	_DEJ2000	(F9.5)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=POS_EQ_DEC_MAIN]
#Column	RAJ2000	(F10.6)	(ra) Right ascension (J2000)        (link)	[ucd=POS_EQ_RA_MAIN]
#Column	DEJ2000	(F10.6)	(dec) Declination (J2000) (dec)	[ucd=POS_EQ_DEC_MAIN]
#Column	Jmag	(F6.3)	?(j_m) J selected default magnitude (2)	[ucd=PHOT_JHN_J]
#Column	e_Jmag	(F6.3)	?(j_msigcom) J total magnitude uncertainty (4)	[ucd=ERROR]
#Column	Hmag	(F6.3)	?(h_m) H selected default magnitude (2)	[ucd=PHOT_JHN_H]
#Column	e_Hmag	(F6.3)	?(h_msigcom) H total magnitude uncertainty (4)	[ucd=ERROR]
#Column	Kmag	(F6.3)	?(k_m) K selected default magnitude (2)	[ucd=PHOT_JHN_K]
#Column	e_Kmag	(F6.3)	?(k_msigcom) K total magnitude uncertainty (4)	[ucd=ERROR]
#Column	Qflg	(A3)	(ph_qual) JHK Photometric quality flag (5)	[ucd=CODE_QUALITY]
#Column	Rflg	(A3)	(rd_flg) Source of JHK default mag (6)	[ucd=REFER_CODE]
#Column	Bflg	(A3)	(bl_flg) JHK components fit to source (7)	[ucd=CODE_MISC]
#Column	Cflg	(A3)	(cc_flg) Artifact contamination, confusion (8)	[ucd=CODE_MISC]
#Column	Xflg	(I1)	[0,2] (gal_contam) Extended source contamination (10)	[ucd=CODE_MISC]
#Column	Aflg	(I1)	[0,1] (mp_flg) Association with asteroid or comet (11)	[ucd=CODE_MISC]
#Column	Opt	(A3)	Show the nearby Optical Sources from USNO and GSC Catalogues        (link)	[ucd=DATA_LINK]

_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Qflg	Rflg	Bflg	Cflg	Xflg	Aflg	Opt
--------	--------	-------	-------	----	------	----	------	----	------	----	----	----	----	----	----	---
010.54509	+41.15963	010.545093	+41.159626	16.684	 0.197	15.576	 0.171	15.322	 0.188	CCC	222	111	000	2	0	Opt
010.54364	+41.16377	010.543643	+41.163773	14.868	 0.040	14.642	 0.080	14.433	 0.087	AAA	222	111	000	2	0	Opt
010.53822	+41.18528	010.538223	+41.185280	11.995	 0.021	11.347	 0.021	11.138	 0.018	AAA	222	111	000	2	0	Opt
010.52436	+41.18093	010.524356	+41.180927	16.409	 0.153	15.494	 0.164	15.015	 0.168	BCC	222	111	000	2	0	Opt
010.55490	+41.18065	010.554903	+41.180649	15.342	 0.062	14.625	 0.091	14.605	 0.110	AAB	222	111	000	2	0	Opt
010.53545	+41.16238	010.535452	+41.162376	16.669	 0.185	15.724	      	15.542	      	CUU	200	100	000	2	0	Opt
010.52946	+41.16958	010.529455	+41.169575	15.981	 0.094	15.473	 0.144	15.283	 0.184	ABC	222	111	000	2	0	Opt
010.53276	+41.17677	010.532765	+41.176773	16.240	      	15.581	 0.183	15.252	 0.189	UCC	022	011	000	2	0	Opt
010.55274	+41.17067	010.552741	+41.170673	16.477	 0.164	15.021	      	15.093	 0.170	CUC	202	101	000	2	0	Opt
010.54638	+41.16917	010.546383	+41.169170	16.628	 0.172	15.471	      	15.327	      	CUU	200	100	000	2	0	Opt
010.56162	+41.17988	010.561618	+41.179882	16.687	 0.184	15.731	      	14.936	      	CUU	200	100	000	2	0	Opt
010.55008	+41.16200	010.550079	+41.161999	16.155	 0.116	15.178	      	15.221	 0.178	BUC	202	101	000	2	0	Opt
010.56242	+41.17719	010.562420	+41.177189	16.631	 0.188	15.659	      	15.283	      	CUU	200	100	000	2	0	Opt
010.56058	+41.14579	010.560584	+41.145786	16.642	 0.179	15.158	      	15.190	      	CUU	200	100	000	2	0	Opt
010.55858	+41.17490	010.558583	+41.174900	16.589	 0.158	15.757	      	15.527	 0.244	CUD	202	101	000	2	0	Opt
010.58303	+41.18126	010.583032	+41.181255	16.818	 0.210	16.028	 0.283	15.422	 0.226	CDD	222	111	000	2	0	Opt
010.58087	+41.17760	010.580874	+41.177601	16.700	 0.194	15.548	 0.162	14.835	      	CCU	220	110	000	2	0	Opt
010.58103	+41.14701	010.581025	+41.147011	16.386	 0.141	15.611	 0.171	15.188	 0.175	BCC	222	111	000	2	0	Opt
010.58578	+41.18507	010.585785	+41.185066	16.647	 0.193	15.500	      	15.656	      	CUU	200	100	000	2	0	Opt
010.57963	+41.16915	010.579626	+41.169151	16.412	 0.170	15.119	      	14.933	      	CUU	200	100	000	2	0	Opt
